market_id,store_primary_category,order_protocol,total_items,subtotal,min_item_price,max_item_price,total_onshift_partners
-0.6518658035954292,7,3,-0.45134362038152986,0.2207616524825805,0.6632734368990388,1.2463456458837896,0.21338392488739794
0.6755778639042918,23,5,-0.828105073571097,-1.0401942403411282,0.21738096969749274,-0.654189306660904,0.5181344623074452
-0.6518658035954292,55,3,2.939509458324574,6.013416047849039,-1.1319284093124033,1.5147624306507654,-0.6094425261467298
0.01185603015443126,27,4,-0.07458216719196278,-0.3256525677410266,-0.6278760550845686,-0.19661975410511998,-0.5484924186627202
0.01185603015443126,33,3,-0.45134362038152986,-0.5358118832116447,-0.10443707184797096,-0.5028670924298574,-0.7313427411147486
0.6755778639042918,55,3,-0.07458216719196278,0.17319928108659852,-0.1625969588742596,0.06639266586788978,-0.30469198872668246
2.0030215314040127,13,3,-0.07458216719196278,-0.23274002826980594,-0.47084436011358927,-0.20382557383040792,0.4876594085654405
0.01185603015443126,68,1,-0.07458216719196278,-0.4373688354385657,-0.751950480740651,-0.654189306660904,-1.3408438159548433
0.6755778639042918,58,3,1.0557021923767385,-0.6862417090221924,-1.0330566013677127,-0.9244075463592017,-1.0360932785347958
0.6755778639042918,39,3,3.316270911514141,5.557702163775909,-0.35452458606101206,0.16547268709059892,1.340960913341573
-0.6518658035954292,38,3,-0.45134362038152986,0.2843624979539518,1.7683112903985225,0.7869746383966836,-0.21326682750066825
0.01185603015443126,13,5,1.4324636455663056,0.45580825531156133,-0.9361234563238983,-0.7352547785703933,-0.21326682750066825
-0.6518658035954292,27,4,-0.07458216719196278,-0.5407893406833172,-1.3238560364991556,0.07359848559317772,0.18290887114539323
-1.3155876373452897,4,5,0.6789407391871715,0.8097607866304971,-0.6453240211924551,0.24653815900008824,-0.48754231117871083
2.0030215314040127,35,2,0.6789407391871715,0.31643944610473035,-0.887656883801991,0.16367123215927695,-0.21326682750066825
1.3392996976541522,20,3,1.4324636455663056,1.420881953985847,-1.0330566013677127,-0.10474555260769876,-1.0970433860188054
-1.3155876373452897,38,3,-0.07458216719196278,1.0602928127046813,0.22513562130099787,1.0571928780949813,0.3657591935974216
-1.3155876373452897,46,1,0.6789407391871715,0.8639597679887091,-0.7907237387581767,0.2609497984506641,-0.700867687372744
-0.6518658035954292,73,5,-0.07458216719196278,0.14112233293581997,-0.10249840894709468,0.21231051530497053,-1.0970433860188054
